intitule,description,romeLibelle,competences,cosine_similarity
Chauffeur routier / Chauffeuse routière,"Afin de renforcer nos équipes, nous recrutons 2 Chauffeurs H/F :

Vous serez en charge de :
Circuits SOVAB allers-retours BATILLY / VILLERS LA MONTAGNE. 1 semaine de nuit, 1 semaine de jour.
Différents horaires. Possibilité de faire un roulement sur d'autres tournées.

Départ JARNY 
1 samedi matin travaillé dans le mois

Prime de fin d'année + intéressement.",Conduite de transport de marchandises sur longue distance,"[{'code': '110473', 'libelle': 'Organiser le chargement des marchandises dans le véhicule', 'exigence': 'E'}, {'code': '110474', 'libelle': ""Vérifier l'exactitude et la conformité de documents de transport de marchandises"", 'exigence': 'E'}, {'code': '110527', 'libelle': ""Contrôler l'état de fonctionnement d'un véhicule"", 'exigence': 'E'}, {'code': '120377', 'libelle': ""Réaliser les opérations d'attelage"", 'exigence': 'E'}, {'code': '124795', 'libelle': 'Définir un itinéraire en fonction des consignes de livraison', 'exigence': 'E'}]",0.36587584
"Préparer petits plats, planchettes charcuteries et salades (H/F)","Vous aurez en charge de préparer des salades, des planchettes de charcuteries et fromages, des petits plats traiteurs et différents produits à partager.
Ambiance familiale.",Personnel de cuisine,"[{'code': '104207', 'libelle': 'Préparer les viandes et les poissons', 'exigence': 'S'}, {'code': '124919', 'libelle': 'Cuire des viandes, poissons ou légumes', 'exigence': 'S'}, {'code': '124935', 'libelle': 'Dresser des plats pour le service', 'exigence': 'S'}, {'code': '124947', 'libelle': 'Éplucher des légumes et des fruits', 'exigence': 'S'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}]",0.3652564
Ouvrier agricole polyvalent productions végétales (H/F),"Ouvrier agricole polyvalent pour 3 ateliers de productions végétales : maraichage - arboriculture - petits fruits
Conduite et entretien des cultures
Conduite de matériel
Travail en équipe 
Travail en extérieur : sous serres ou plein champs",Horticulture et maraîchage,"[{'code': '122730', 'libelle': 'Préparer les sols, les plantations (épandage, semis, etc.)', 'exigence': 'E'}, {'code': '122853', 'libelle': 'Récolter un produit à maturité et selon les consignes de calibrage', 'exigence': 'E'}, {'code': '123046', 'libelle': ""Surveiller l'état d'une plantation"", 'exigence': 'E'}]",0.3652247
Chauffeur-livreur / Chauffeuse-livreuse,"*** Poste Urgent ***

Vous travaillerez au départ d'Orthez, de 5h à 08h30 le matin, sur une tournée de pharmacie.
Poste du mardi au samedi inclus, 80h/mensuel. 
Rémunération 12€45 brut/heure. 

Possibilité de renouvellement ou évolution sur le poste. 

Vous avez le permis B, et êtes rigoureux(se). 
Débutants acceptés.

Contactez l'employeur par téléphone : 
 06 82 09 06 99",Conduite et livraison par tournées sur courte distance,"[{'code': '109486', 'libelle': 'Lecture de plan urbain', 'exigence': 'S'}, {'code': '121418', 'libelle': 'Méthodes de plan de tournée', 'exigence': 'S'}, {'code': '110474', 'libelle': ""Vérifier l'exactitude et la conformité de documents de transport de marchandises"", 'exigence': 'S'}, {'code': '124795', 'libelle': 'Définir un itinéraire en fonction des consignes de livraison', 'exigence': 'S'}, {'code': '125102', 'libelle': 'Livrer une commande', 'exigence': 'S'}, {'code': '300265', 'libelle': 'Charger, décharger, manutentionner des produits', 'exigence': 'S'}, {'code': '300379', 'libelle': 'Développer et fidéliser la relation client', 'exigence': 'S'}]",0.36507744
Aide-maçon / Aide-maçonne (H/F),"Description du poste :
Vous interviendrez en renfort sur des chantiers -
Vous compléterez une équipe déjà présente -
Missions:***Aide aux différents travaux de maçonnerie
* Rangement des matériaux & chantiers
* Respect des consignes de sécurité
Longue mission en intérim
Taux horaire selon grille du bâtiment + paniers repas
Description du profil :
Vous justifiez d'un réel savoir-être,
Vous êtes motivé et faites preuve d'initiative,
Vous ne demandez qu'à approfondir votre savoir-faire et vous avez envie d'intégrer une équipe qui sera vous faire évoluer,
N'attendez plus pour postuler.",Préparation du gros oeuvre et des travaux publics,,0.36499506
Bardeur(euse)  (Rouen) H/F,"Intégré(e) aux équipes de production de l'agence Habitat Réhabilité de Rouen et en tant que Bardeur(euse) HF vos missions sont de :Assembler découper, préparer les différents éléments au solRéaliser le traçage, pose et assemblagePose de structure (bois, acier.) et équerragePose d'isolant ( laine de verre, roche, bois . )Pose de bardage (bois, métallique . )  ",Montage de structures métalliques,,0.36480853
"""Agent en maraîchage Saisonnier F-H"" (H/F)","""""""Exploitation légumière, secteur St Pol de Léon, recrute 1 personne affectée  essentiellement au ramassage des Pommes de Terre  et récolte  des radis noirs et carottes./r/n/r/nContrat de 2 mois prolongeable ./r/nPossibilité d'un temps partiel selon souhaits/r/n/r/nMoyen de locomotion nécessaire pour accéder aux différents sites de production. (Roscoff et Santec)/r/n""""""",Horticulture et maraîchage,,0.36475158
Cuisinier traiteur / Cuisinière traiteuse,"Au sein d'une boulangerie vous assurez la préparation des plats cuisinés, des sandwichs et autres produits traiteur.

 Votre expérience en cuisine est qualifiée par un diplome. 

Rigueur, écoute et esprit d'équipe sont les atouts qui vous permettront d'évoluer dans ce poste.",Personnel de cuisine,"[{'code': '104207', 'libelle': 'Préparer les viandes et les poissons', 'exigence': 'S'}, {'code': '124919', 'libelle': 'Cuire des viandes, poissons ou légumes', 'exigence': 'S'}, {'code': '124935', 'libelle': 'Dresser des plats pour le service', 'exigence': 'S'}, {'code': '124947', 'libelle': 'Éplucher des légumes et des fruits', 'exigence': 'S'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}]",0.36451527
Maçon(ne) (H/F),"Vous êtes maçon(ne)  Nous recrutons !

Le poste consiste à  préparer les fondations, monter les murs, les cloisons et poser les dalles.
L'assemblage de briques, parpaings ou pierres avec des produits liants comme le ciment ou le mortier.
  Maçon(ne), vous possédez idéalement une expérience de 2 années minimum dans ce domaine. Vous devrez respecter les consignes de sécurité, le port d'équipements de protection : casque de chantier, chaussures de sécurité est obligatoire. Savoir-être: autonome, rigueur, aptitude à travailler en équipe.",Maçonnerie,"[{'code': '103767', 'libelle': 'Terrasser et niveler la fondation', 'exigence': 'S'}, {'code': '121482', 'libelle': 'Appliquer les mortiers', 'exigence': 'S'}, {'code': '122952', 'libelle': 'Monter les murs en utilisant les matériaux adaptés', 'exigence': 'S'}, {'code': '123667', 'libelle': 'Réaliser des enduits', 'exigence': 'S'}, {'code': '400081', 'libelle': ""Assembler et positionner les éléments d'armatures et les caissons pour le béton"", 'exigence': 'S'}]",0.3643038
Pâtissier tourier / Pâtissière tourière,"Sous la supervision de notre chef-pâtissière en et collaboration avec l'équipe de boulangerie et de cuisine, vous pourrez poursuivre votre développement, mettre votre créativité et vos talents en actions et profitez de la nature qui est à quelques minutes du travail.","Pâtisserie, confiserie, chocolaterie et glacerie","[{'code': '101738', 'libelle': 'Caractéristiques des farines levure, additifs', 'exigence': 'S'}, {'code': '115131', 'libelle': 'Préparer des aliments', 'exigence': 'S'}, {'code': '124933', 'libelle': 'Doser des ingrédients culinaires', 'exigence': 'S'}, {'code': '300181', 'libelle': 'Entretenir un équipement, une machine, une installation', 'exigence': 'S'}]",0.36425185
Charpentier F/H - Landes Intérim (H/F),"Nous recherchons des charpentiers (ères) pour compléter une équipe. travail sur des chantiers neufs ou rénovations. secteur Landes dépose et pose de fermettes, pose de charpente..
 
Salaire en fonction de l'expérience 

dynamique et motivé 
 
vous avez une première expérience ou finissez vos études en charpente contactez nous",Réalisation - installation d'ossatures bois,,0.3640832
